dataset,prec,recall,f1,pos-ex,neg-ex,theta,gt_level,time

cdr-chm,0.060728,1.000000,0.114502,1,1,0.000000,span,5.567700
cdr-chm,0.175755,0.753055,0.284996,1,1,0.100000,span,5.600365
cdr-chm,0.596031,0.560129,0.577522,1,1,0.200000,span,5.631156
cdr-chm,0.642629,0.559700,0.598304,1,1,0.300000,span,5.661073
cdr-chm,0.642629,0.559700,0.598304,1,1,0.400000,span,5.688919
cdr-chm,0.642629,0.559700,0.598304,1,1,0.500000,span,5.716556
cdr-chm,0.642629,0.559700,0.598304,1,1,0.600000,span,5.744217
cdr-chm,0.642629,0.559700,0.598304,1,1,0.700000,span,5.771891
cdr-chm,0.942940,0.559700,0.702448,1,1,0.800000,span,5.799095
cdr-chm,0.963277,0.438585,0.602740,1,1,0.900000,span,5.826155
cdr-chm,0.000000,0.000000,0.000000,1,1,1.000000,span,5.853150
cdr-chm,0.060728,1.000000,0.114502,1,1,0.000000,span,13.525744
cdr-chm,0.063540,0.997428,0.119470,1,1,0.100000,span,13.580430
cdr-chm,0.063540,0.997428,0.119470,1,1,0.200000,span,13.609419
cdr-chm,0.063540,0.997428,0.119470,1,1,0.300000,span,13.636488
cdr-chm,0.063540,0.997428,0.119470,1,1,0.400000,span,13.663195
cdr-chm,0.063540,0.997428,0.119470,1,1,0.500000,span,13.689967
cdr-chm,0.019568,0.025080,0.021984,1,1,0.600000,span,13.717623
cdr-chm,0.019568,0.025080,0.021984,1,1,0.700000,span,13.745217
cdr-chm,0.019568,0.025080,0.021984,1,1,0.800000,span,13.772674
cdr-chm,0.019568,0.025080,0.021984,1,1,0.900000,span,13.799802
cdr-chm,0.000000,0.000000,0.000000,1,1,1.000000,span,13.824468
cdr-chm,0.060728,1.000000,0.114502,1,1,0.000000,span,6.142476
cdr-chm,0.264095,0.575348,0.362018,1,1,0.100000,span,6.174136
cdr-chm,0.596031,0.560129,0.577522,1,1,0.200000,span,6.204705
cdr-chm,0.903460,0.559700,0.691198,1,1,0.300000,span,6.234028
cdr-chm,0.903460,0.559700,0.691198,1,1,0.400000,span,6.261738
