dataset,prec,recall,f1,pos-ex,neg-ex,theta,gt_level,time

political-text-pob,0.007897,1.000000,0.015671,15,7325,0.000000,span,3.656696
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.100000,span,3.668370
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.200000,span,3.679856
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.300000,span,3.691144
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.400000,span,3.702334
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.500000,span,3.713527
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.600000,span,3.724738
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.700000,span,3.736038
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.800000,span,3.747261
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.900000,span,3.758497
political-text-pob,0.000000,0.000000,0.000000,15,7325,1.000000,span,3.769487
political-text-pob,0.007897,1.000000,0.015671,15,7325,0.000000,span,3.844893
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.100000,span,3.857325
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.200000,span,3.869134
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.300000,span,3.880920
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.400000,span,3.892705
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.500000,span,3.904488
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.600000,span,3.916271
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.700000,span,3.928054
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.800000,span,3.939848
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.900000,span,3.951380
political-text-pob,0.000000,0.000000,0.000000,15,7325,1.000000,span,3.962723
political-text-pob,0.007897,1.000000,0.015671,15,7325,0.000000,span,3.407753
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.100000,span,3.419571
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.200000,span,3.431217
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.300000,span,3.442849
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.400000,span,3.454470
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.500000,span,3.466113
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.600000,span,3.477723
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.700000,span,3.489350
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.800000,span,3.500983
political-text-pob,0.000000,0.000000,0.000000,15,7325,0.900000,span,3.512504
political-text-pob,0.000000,0.000000,0.000000,15,7325,1.000000,span,3.523763
political-text-pob,0.007897,1.000000,0.015671,1,10,0.000000,span,76.502904
political-text-pob,0.000106,0.003690,0.000206,1,10,0.100000,span,76.516258
political-text-pob,0.000106,0.003690,0.000206,1,10,0.200000,span,76.529485
political-text-pob,0.000000,0.000000,0.000000,1,10,0.300000,span,76.541098
political-text-pob,0.000000,0.000000,0.000000,1,10,0.400000,span,76.552627
political-text-pob,0.000000,0.000000,0.000000,1,10,0.500000,span,76.564186
political-text-pob,0.000000,0.000000,0.000000,1,10,0.600000,span,76.575353
political-text-pob,0.000000,0.000000,0.000000,1,10,0.700000,span,76.586421
political-text-pob,0.000000,0.000000,0.000000,1,10,0.800000,span,76.597386
political-text-pob,0.000000,0.000000,0.000000,1,10,0.900000,span,76.608174
political-text-pob,0.000000,0.000000,0.000000,1,10,1.000000,span,76.618609
political-text-pob,0.007897,1.000000,0.015671,1,10,0.000000,span,3.098216
political-text-pob,0.000000,0.000000,0.000000,1,10,0.100000,span,3.110002
political-text-pob,0.000000,0.000000,0.000000,1,10,0.200000,span,3.121576
political-text-pob,0.000000,0.000000,0.000000,1,10,0.300000,span,3.133106
political-text-pob,0.000000,0.000000,0.000000,1,10,0.400000,span,3.144644
political-text-pob,0.000000,0.000000,0.000000,1,10,0.500000,span,3.156177
political-text-pob,0.000000,0.000000,0.000000,1,10,0.600000,span,3.167717
political-text-pob,0.000000,0.000000,0.000000,1,10,0.700000,span,3.179256
political-text-pob,0.000000,0.000000,0.000000,1,10,0.800000,span,3.190789
political-text-pob,0.000000,0.000000,0.000000,1,10,0.900000,span,3.202173
political-text-pob,0.000000,0.000000,0.000000,1,10,1.000000,span,3.213363
political-text-pob,0.007897,1.000000,0.015671,1,10,0.000000,span,3.025871
political-text-pob,0.000000,0.000000,0.000000,1,10,0.100000,span,3.037622
political-text-pob,0.000000,0.000000,0.000000,1,10,0.200000,span,3.049176
political-text-pob,0.000000,0.000000,0.000000,1,10,0.300000,span,3.060724
political-text-pob,0.000000,0.000000,0.000000,1,10,0.400000,span,3.072259
political-text-pob,0.000000,0.000000,0.000000,1,10,0.500000,span,3.083825
political-text-pob,0.000000,0.000000,0.000000,1,10,0.600000,span,3.095333
political-text-pob,0.000000,0.000000,0.000000,1,10,0.700000,span,3.106895
political-text-pob,0.000000,0.000000,0.000000,1,10,0.800000,span,3.118435
political-text-pob,0.000000,0.000000,0.000000,1,10,0.900000,span,3.129804
political-text-pob,0.000000,0.000000,0.000000,1,10,1.000000,span,3.140889
political-text-pob,0.007897,1.000000,0.015671,3,30,0.000000,span,2.813862
political-text-pob,0.000000,0.000000,0.000000,3,30,0.100000,span,2.825542
political-text-pob,0.000000,0.000000,0.000000,3,30,0.200000,span,2.836942
political-text-pob,0.000000,0.000000,0.000000,3,30,0.300000,span,2.848255
political-text-pob,0.000000,0.000000,0.000000,3,30,0.400000,span,2.859324
political-text-pob,0.000000,0.000000,0.000000,3,30,0.500000,span,2.871471
political-text-pob,0.000000,0.000000,0.000000,3,30,0.600000,span,2.883260
political-text-pob,0.000000,0.000000,0.000000,3,30,0.700000,span,2.894819
political-text-pob,0.000000,0.000000,0.000000,3,30,0.800000,span,2.905854
political-text-pob,0.000000,0.000000,0.000000,3,30,0.900000,span,2.916699
political-text-pob,0.000000,0.000000,0.000000,3,30,1.000000,span,2.927402
political-text-pob,0.007897,1.000000,0.015671,3,30,0.000000,span,2.555197
political-text-pob,0.000000,0.000000,0.000000,3,30,0.100000,span,2.566586
political-text-pob,0.000000,0.000000,0.000000,3,30,0.200000,span,2.577774
political-text-pob,0.000000,0.000000,0.000000,3,30,0.300000,span,2.589126
political-text-pob,0.000000,0.000000,0.000000,3,30,0.400000,span,2.600269
political-text-pob,0.000000,0.000000,0.000000,3,30,0.500000,span,2.611417
political-text-pob,0.000000,0.000000,0.000000,3,30,0.600000,span,2.622543
political-text-pob,0.000000,0.000000,0.000000,3,30,0.700000,span,2.633638
political-text-pob,0.000000,0.000000,0.000000,3,30,0.800000,span,2.644742
political-text-pob,0.000000,0.000000,0.000000,3,30,0.900000,span,2.655876
political-text-pob,0.000000,0.000000,0.000000,3,30,1.000000,span,2.666682
political-text-pob,0.007897,1.000000,0.015671,3,30,0.000000,span,2.819166
political-text-pob,0.000000,0.000000,0.000000,3,30,0.100000,span,2.830647
political-text-pob,0.000000,0.000000,0.000000,3,30,0.200000,span,2.842066
political-text-pob,0.000000,0.000000,0.000000,3,30,0.300000,span,2.853242
political-text-pob,0.000000,0.000000,0.000000,3,30,0.400000,span,2.864489
