dataset,prec,recall,f1,pos-ex,neg-ex,theta,gt_level,time

political-text-pob,0.002228,1.000000,0.004447,16,7430,0.000000,span,3.483989
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.100000,span,3.495355
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.200000,span,3.506427
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.300000,span,3.517416
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.400000,span,3.528307
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.500000,span,3.539294
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.600000,span,3.550199
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.700000,span,3.561069
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.800000,span,3.572122
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.900000,span,3.583023
political-text-pob,0.000000,0.000000,0.000000,16,7430,1.000000,span,3.593665
political-text-pob,0.002228,1.000000,0.004447,16,7430,0.000000,span,3.532155
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.100000,span,3.543702
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.200000,span,3.554645
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.300000,span,3.565548
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.400000,span,3.576477
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.500000,span,3.587406
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.600000,span,3.598305
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.700000,span,3.609247
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.800000,span,3.620169
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.900000,span,3.631091
political-text-pob,0.000000,0.000000,0.000000,16,7430,1.000000,span,3.641760
political-text-pob,0.002228,1.000000,0.004447,16,7430,0.000000,span,3.523368
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.100000,span,3.535533
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.200000,span,3.547148
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.300000,span,3.558751
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.400000,span,3.570328
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.500000,span,3.581897
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.600000,span,3.593461
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.700000,span,3.605067
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.800000,span,3.616679
political-text-pob,0.000000,0.000000,0.000000,16,7430,0.900000,span,3.628123
political-text-pob,0.000000,0.000000,0.000000,16,7430,1.000000,span,3.639343
political-text-pob,0.002228,1.000000,0.004447,1,10,0.000000,span,2.993311
political-text-pob,0.000000,0.000000,0.000000,1,10,0.100000,span,3.005571
political-text-pob,0.000000,0.000000,0.000000,1,10,0.200000,span,3.016566
political-text-pob,0.000000,0.000000,0.000000,1,10,0.300000,span,3.027363
political-text-pob,0.000000,0.000000,0.000000,1,10,0.400000,span,3.038283
political-text-pob,0.000000,0.000000,0.000000,1,10,0.500000,span,3.049093
political-text-pob,0.000000,0.000000,0.000000,1,10,0.600000,span,3.060066
political-text-pob,0.000000,0.000000,0.000000,1,10,0.700000,span,3.070859
political-text-pob,0.000000,0.000000,0.000000,1,10,0.800000,span,3.081736
political-text-pob,0.000000,0.000000,0.000000,1,10,0.900000,span,3.092384
political-text-pob,0.000000,0.000000,0.000000,1,10,1.000000,span,3.102710
political-text-pob,0.002228,1.000000,0.004447,1,10,0.000000,span,2.903788
political-text-pob,0.018686,0.779221,0.036496,1,10,0.100000,span,2.916074
political-text-pob,0.000000,0.000000,0.000000,1,10,0.200000,span,2.928668
political-text-pob,0.000000,0.000000,0.000000,1,10,0.300000,span,2.940148
political-text-pob,0.000000,0.000000,0.000000,1,10,0.400000,span,2.951639
political-text-pob,0.000000,0.000000,0.000000,1,10,0.500000,span,2.963102
political-text-pob,0.000000,0.000000,0.000000,1,10,0.600000,span,2.974594
political-text-pob,0.000000,0.000000,0.000000,1,10,0.700000,span,2.986076
political-text-pob,0.000000,0.000000,0.000000,1,10,0.800000,span,2.997570
