dataset,prec,recall,f1,pos-ex,neg-ex,theta,gt_level,time

cdr,0.070387,1.000000,0.131517,869,18068,0.000000,span,8.420859
cdr,0.944444,0.282967,0.435463,869,18068,0.100000,span,8.449267
cdr,0.000000,0.000000,0.000000,869,18068,0.200000,span,8.477291
cdr,0.000000,0.000000,0.000000,869,18068,0.300000,span,8.504924
cdr,0.000000,0.000000,0.000000,869,18068,0.400000,span,8.531245
cdr,0.000000,0.000000,0.000000,869,18068,0.500000,span,8.556258
cdr,0.000000,0.000000,0.000000,869,18068,0.600000,span,8.581123
cdr,0.000000,0.000000,0.000000,869,18068,0.700000,span,8.606093
cdr,0.000000,0.000000,0.000000,869,18068,0.800000,span,8.630959
cdr,0.000000,0.000000,0.000000,869,18068,0.900000,span,8.655823
cdr,0.000000,0.000000,0.000000,869,18068,1.000000,span,8.680692
cdr,0.070387,1.000000,0.131517,869,18068,0.000000,span,9.134235
cdr,0.944444,0.282967,0.435463,869,18068,0.100000,span,9.162741
cdr,0.000000,0.000000,0.000000,869,18068,0.200000,span,9.191315
cdr,0.000000,0.000000,0.000000,869,18068,0.300000,span,9.219017
cdr,0.000000,0.000000,0.000000,869,18068,0.400000,span,9.245754
cdr,0.000000,0.000000,0.000000,869,18068,0.500000,span,9.272566
cdr,0.000000,0.000000,0.000000,869,18068,0.600000,span,9.299335
cdr,0.000000,0.000000,0.000000,869,18068,0.700000,span,9.326150
cdr,0.000000,0.000000,0.000000,869,18068,0.800000,span,9.352999
cdr,0.000000,0.000000,0.000000,869,18068,0.900000,span,9.379742
cdr,0.000000,0.000000,0.000000,869,18068,1.000000,span,9.406454
cdr,0.070387,1.000000,0.131517,869,18068,0.000000,span,8.423576
cdr,0.944444,0.282967,0.435463,869,18068,0.100000,span,8.452122
cdr,0.000000,0.000000,0.000000,869,18068,0.200000,span,8.480757
cdr,0.000000,0.000000,0.000000,869,18068,0.300000,span,8.508461
cdr,0.000000,0.000000,0.000000,869,18068,0.400000,span,8.534679
cdr,0.000000,0.000000,0.000000,869,18068,0.500000,span,8.559954
cdr,0.000000,0.000000,0.000000,869,18068,0.600000,span,8.584835
cdr,0.000000,0.000000,0.000000,869,18068,0.700000,span,8.609705
cdr,0.000000,0.000000,0.000000,869,18068,0.800000,span,8.634679
cdr,0.000000,0.000000,0.000000,869,18068,0.900000,span,8.659596
cdr,0.000000,0.000000,0.000000,869,18068,1.000000,span,8.684442
cdr,0.070387,1.000000,0.131517,1,10,0.000000,span,5.223117
cdr,0.361032,0.023303,0.043780,1,10,0.100000,span,5.250963
cdr,0.000000,0.000000,0.000000,1,10,0.200000,span,5.280157
cdr,0.000000,0.000000,0.000000,1,10,0.300000,span,5.308237
cdr,0.000000,0.000000,0.000000,1,10,0.400000,span,5.334597
cdr,0.000000,0.000000,0.000000,1,10,0.500000,span,5.359901
cdr,0.000000,0.000000,0.000000,1,10,0.600000,span,5.384758
cdr,0.000000,0.000000,0.000000,1,10,0.700000,span,5.409383
cdr,0.000000,0.000000,0.000000,1,10,0.800000,span,5.434129
cdr,0.000000,0.000000,0.000000,1,10,0.900000,span,5.458803
cdr,0.000000,0.000000,0.000000,1,10,1.000000,span,5.483549
cdr,0.070387,1.000000,0.131517,1,10,0.000000,span,5.307203
cdr,0.000000,0.000000,0.000000,1,10,0.100000,span,5.336892
cdr,0.000000,0.000000,0.000000,1,10,0.200000,span,5.366024
cdr,0.000000,0.000000,0.000000,1,10,0.300000,span,5.394918
cdr,0.000000,0.000000,0.000000,1,10,0.400000,span,5.422472
cdr,0.000000,0.000000,0.000000,1,10,0.500000,span,5.448292
cdr,0.000000,0.000000,0.000000,1,10,0.600000,span,5.472899
cdr,0.000000,0.000000,0.000000,1,10,0.700000,span,5.497419
cdr,0.000000,0.000000,0.000000,1,10,0.800000,span,5.522007
cdr,0.000000,0.000000,0.000000,1,10,0.900000,span,5.546501
cdr,0.000000,0.000000,0.000000,1,10,1.000000,span,5.571027
cdr,0.070387,1.000000,0.131517,1,10,0.000000,span,6.027579
cdr,0.000000,0.000000,0.000000,1,10,0.100000,span,6.056326
cdr,0.000000,0.000000,0.000000,1,10,0.200000,span,6.084464
cdr,0.000000,0.000000,0.000000,1,10,0.300000,span,6.112760
cdr,0.000000,0.000000,0.000000,1,10,0.400000,span,6.139557
cdr,0.000000,0.000000,0.000000,1,10,0.500000,span,6.166302
cdr,0.000000,0.000000,0.000000,1,10,0.600000,span,6.193054
cdr,0.000000,0.000000,0.000000,1,10,0.700000,span,6.219854
cdr,0.000000,0.000000,0.000000,1,10,0.800000,span,6.246674
cdr,0.000000,0.000000,0.000000,1,10,0.900000,span,6.273442
cdr,0.000000,0.000000,0.000000,1,10,1.000000,span,6.300185
cdr,0.070387,1.000000,0.131517,3,30,0.000000,span,5.111647
cdr,0.000000,0.000000,0.000000,3,30,0.100000,span,5.140897
cdr,0.000000,0.000000,0.000000,3,30,0.200000,span,5.169960
cdr,0.000000,0.000000,0.000000,3,30,0.300000,span,5.198900
cdr,0.000000,0.000000,0.000000,3,30,0.400000,span,5.226376
cdr,0.000000,0.000000,0.000000,3,30,0.500000,span,5.252089
cdr,0.000000,0.000000,0.000000,3,30,0.600000,span,5.276657
cdr,0.000000,0.000000,0.000000,3,30,0.700000,span,5.301120
cdr,0.000000,0.000000,0.000000,3,30,0.800000,span,5.325659
cdr,0.000000,0.000000,0.000000,3,30,0.900000,span,5.350541
cdr,0.000000,0.000000,0.000000,3,30,1.000000,span,5.375115
cdr,0.070387,1.000000,0.131517,3,30,0.000000,span,5.159742
cdr,0.000000,0.000000,0.000000,3,30,0.100000,span,5.189021
cdr,0.000000,0.000000,0.000000,3,30,0.200000,span,5.218185
cdr,0.000000,0.000000,0.000000,3,30,0.300000,span,5.247068
cdr,0.000000,0.000000,0.000000,3,30,0.400000,span,5.274386
cdr,0.000000,0.000000,0.000000,3,30,0.500000,span,5.299972
cdr,0.000000,0.000000,0.000000,3,30,0.600000,span,5.324476
cdr,0.000000,0.000000,0.000000,3,30,0.700000,span,5.349022
cdr,0.000000,0.000000,0.000000,3,30,0.800000,span,5.373687
cdr,0.000000,0.000000,0.000000,3,30,0.900000,span,5.398342
cdr,0.000000,0.000000,0.000000,3,30,1.000000,span,5.422901
cdr,0.070387,1.000000,0.131517,3,30,0.000000,span,5.627461
cdr,0.000000,0.000000,0.000000,3,30,0.100000,span,5.655436
cdr,0.000000,0.000000,0.000000,3,30,0.200000,span,5.683158
cdr,0.000000,0.000000,0.000000,3,30,0.300000,span,5.710848
cdr,0.000000,0.000000,0.000000,3,30,0.400000,span,5.737662
cdr,0.000000,0.000000,0.000000,3,30,0.500000,span,5.764386
cdr,0.000000,0.000000,0.000000,3,30,0.600000,span,5.791109
cdr,0.000000,0.000000,0.000000,3,30,0.700000,span,5.817865
cdr,0.000000,0.000000,0.000000,3,30,0.800000,span,5.844645
cdr,0.000000,0.000000,0.000000,3,30,0.900000,span,5.871370
cdr,0.000000,0.000000,0.000000,3,30,1.000000,span,5.898151
cdr,0.070387,1.000000,0.131517,5,50,0.000000,span,5.031780
cdr,0.000000,0.000000,0.000000,5,50,0.100000,span,5.059614
cdr,0.000000,0.000000,0.000000,5,50,0.200000,span,5.087282
cdr,0.000000,0.000000,0.000000,5,50,0.300000,span,5.114847
cdr,0.000000,0.000000,0.000000,5,50,0.400000,span,5.141195
cdr,0.000000,0.000000,0.000000,5,50,0.500000,span,5.166132
cdr,0.000000,0.000000,0.000000,5,50,0.600000,span,5.190856
cdr,0.000000,0.000000,0.000000,5,50,0.700000,span,5.215508
cdr,0.000000,0.000000,0.000000,5,50,0.800000,span,5.240427
cdr,0.000000,0.000000,0.000000,5,50,0.900000,span,5.265093
cdr,0.000000,0.000000,0.000000,5,50,1.000000,span,5.289944
cdr,0.070387,1.000000,0.131517,5,50,0.000000,span,5.184943
cdr,0.000000,0.000000,0.000000,5,50,0.100000,span,5.213144
cdr,0.000000,0.000000,0.000000,5,50,0.200000,span,5.240787
cdr,0.000000,0.000000,0.000000,5,50,0.300000,span,5.268188
cdr,0.000000,0.000000,0.000000,5,50,0.400000,span,5.294382
cdr,0.000000,0.000000,0.000000,5,50,0.500000,span,5.319175
cdr,0.000000,0.000000,0.000000,5,50,0.600000,span,5.343924
cdr,0.000000,0.000000,0.000000,5,50,0.700000,span,5.368657
cdr,0.000000,0.000000,0.000000,5,50,0.800000,span,5.393399
cdr,0.000000,0.000000,0.000000,5,50,0.900000,span,5.417927
cdr,0.000000,0.000000,0.000000,5,50,1.000000,span,5.442600
cdr,0.070387,1.000000,0.131517,5,50,0.000000,span,5.955540
cdr,0.361032,0.023303,0.043780,5,50,0.100000,span,5.983392
cdr,0.000000,0.000000,0.000000,5,50,0.200000,span,6.011869
cdr,0.000000,0.000000,0.000000,5,50,0.300000,span,6.039609
