dataset,prec,recall,f1,pos-ex,neg-ex,theta,gt_level,time

political_table,0.006586,1.000000,0.013085,18,2660,0.000000,cell,2.467805
political_table,0.905882,1.000000,0.950617,18,2660,0.100000,cell,2.472309
political_table,1.000000,1.000000,1.000000,18,2660,0.200000,cell,2.476782
political_table,1.000000,1.000000,1.000000,18,2660,0.300000,cell,2.481231
political_table,1.000000,1.000000,1.000000,18,2660,0.400000,cell,2.485660
political_table,1.000000,1.000000,1.000000,18,2660,0.500000,cell,2.490079
political_table,1.000000,1.000000,1.000000,18,2660,0.600000,cell,2.494522
political_table,1.000000,1.000000,1.000000,18,2660,0.700000,cell,2.498955
political_table,1.000000,1.000000,1.000000,18,2660,0.800000,cell,2.503395
political_table,0.000000,0.000000,0.000000,18,2660,0.900000,cell,2.508060
political_table,0.000000,0.000000,0.000000,18,2660,1.000000,cell,2.512475
political_table,0.006586,1.000000,0.013085,18,2660,0.000000,cell,2.393899
political_table,0.905882,1.000000,0.950617,18,2660,0.100000,cell,2.398413
political_table,1.000000,1.000000,1.000000,18,2660,0.200000,cell,2.403173
political_table,1.000000,1.000000,1.000000,18,2660,0.300000,cell,2.407577
political_table,1.000000,1.000000,1.000000,18,2660,0.400000,cell,2.411869
political_table,1.000000,1.000000,1.000000,18,2660,0.500000,cell,2.416165
political_table,1.000000,1.000000,1.000000,18,2660,0.600000,cell,2.420447
political_table,1.000000,1.000000,1.000000,18,2660,0.700000,cell,2.424776
political_table,1.000000,1.000000,1.000000,18,2660,0.800000,cell,2.429112
political_table,0.000000,0.000000,0.000000,18,2660,0.900000,cell,2.433899
political_table,0.000000,0.000000,0.000000,18,2660,1.000000,cell,2.438171
political_table,0.006586,1.000000,0.013085,18,2660,0.000000,cell,2.264903
political_table,0.905882,1.000000,0.950617,18,2660,0.100000,cell,2.269385
political_table,1.000000,1.000000,1.000000,18,2660,0.200000,cell,2.273820
political_table,1.000000,1.000000,1.000000,18,2660,0.300000,cell,2.278233
political_table,1.000000,1.000000,1.000000,18,2660,0.400000,cell,2.282655
political_table,1.000000,1.000000,1.000000,18,2660,0.500000,cell,2.287055
political_table,1.000000,1.000000,1.000000,18,2660,0.600000,cell,2.291484
political_table,1.000000,1.000000,1.000000,18,2660,0.700000,cell,2.295890
political_table,1.000000,1.000000,1.000000,18,2660,0.800000,cell,2.300304
political_table,0.000000,0.000000,0.000000,18,2660,0.900000,cell,2.304904
political_table,0.000000,0.000000,0.000000,18,2660,1.000000,cell,2.309470
political_table,0.006586,1.000000,0.013085,1,147,0.000000,cell,1.806309
political_table,0.452941,1.000000,0.623482,1,147,0.100000,cell,1.810817
political_table,0.905882,1.000000,0.950617,1,147,0.200000,cell,1.815242
political_table,0.905882,1.000000,0.950617,1,147,0.300000,cell,1.819690
political_table,0.905882,1.000000,0.950617,1,147,0.400000,cell,1.824136
political_table,0.905882,1.000000,0.950617,1,147,0.500000,cell,1.828563
political_table,0.905882,1.000000,0.950617,1,147,0.600000,cell,1.832987
political_table,0.905882,1.000000,0.950617,1,147,0.700000,cell,1.837403
political_table,0.905882,1.000000,0.950617,1,147,0.800000,cell,1.841822
political_table,1.000000,1.000000,1.000000,1,147,0.900000,cell,1.846244
political_table,0.000000,0.000000,0.000000,1,147,1.000000,cell,1.850800
political_table,0.006586,1.000000,0.013085,1,147,0.000000,cell,1.776503
political_table,0.905882,1.000000,0.950617,1,147,0.100000,cell,1.780939
political_table,1.000000,1.000000,1.000000,1,147,0.200000,cell,1.785355
political_table,1.000000,1.000000,1.000000,1,147,0.300000,cell,1.789764
political_table,1.000000,1.000000,1.000000,1,147,0.400000,cell,1.794189
political_table,1.000000,1.000000,1.000000,1,147,0.500000,cell,1.798602
political_table,1.000000,1.000000,1.000000,1,147,0.600000,cell,1.803002
