dataset,prec,recall,f1,pos-ex,neg-ex,theta,gt_level,time

political_table,0.006586,1.000000,0.013085,1,10,0.000000,cell,2.000138
political_table,0.452941,1.000000,0.623482,1,10,0.100000,cell,2.004636
political_table,0.905882,1.000000,0.950617,1,10,0.200000,cell,2.009059
political_table,0.905882,1.000000,0.950617,1,10,0.300000,cell,2.013492
political_table,0.905882,1.000000,0.950617,1,10,0.400000,cell,2.017893
political_table,0.905882,1.000000,0.950617,1,10,0.500000,cell,2.022307
political_table,0.905882,1.000000,0.950617,1,10,0.600000,cell,2.026717
political_table,0.905882,1.000000,0.950617,1,10,0.700000,cell,2.031133
political_table,0.905882,1.000000,0.950617,1,10,0.800000,cell,2.035541
political_table,1.000000,1.000000,1.000000,1,10,0.900000,cell,2.039934
political_table,0.000000,0.000000,0.000000,1,10,1.000000,cell,2.044584
political_table,0.006586,1.000000,0.013085,1,10,0.000000,cell,2.082151
political_table,0.452941,1.000000,0.623482,1,10,0.100000,cell,2.086635
political_table,0.905882,1.000000,0.950617,1,10,0.200000,cell,2.091055
political_table,0.905882,1.000000,0.950617,1,10,0.300000,cell,2.095481
political_table,0.905882,1.000000,0.950617,1,10,0.400000,cell,2.099878
political_table,0.905882,1.000000,0.950617,1,10,0.500000,cell,2.104274
political_table,0.905882,1.000000,0.950617,1,10,0.600000,cell,2.108671
political_table,0.905882,1.000000,0.950617,1,10,0.700000,cell,2.113060
political_table,0.905882,1.000000,0.950617,1,10,0.800000,cell,2.117447
political_table,1.000000,1.000000,1.000000,1,10,0.900000,cell,2.121839
political_table,0.000000,0.000000,0.000000,1,10,1.000000,cell,2.126405
political_table,0.006586,1.000000,0.013085,1,10,0.000000,cell,2.052389
political_table,0.452941,1.000000,0.623482,1,10,0.100000,cell,2.056868
political_table,0.905882,1.000000,0.950617,1,10,0.200000,cell,2.061277
political_table,0.905882,1.000000,0.950617,1,10,0.300000,cell,2.065678
political_table,0.905882,1.000000,0.950617,1,10,0.400000,cell,2.070070
political_table,0.905882,1.000000,0.950617,1,10,0.500000,cell,2.074469
political_table,0.905882,1.000000,0.950617,1,10,0.600000,cell,2.078859
political_table,0.905882,1.000000,0.950617,1,10,0.700000,cell,2.083252
political_table,0.905882,1.000000,0.950617,1,10,0.800000,cell,2.087649
political_table,1.000000,1.000000,1.000000,1,10,0.900000,cell,2.092031
political_table,0.000000,0.000000,0.000000,1,10,1.000000,cell,2.096658
political_table,0.006586,1.000000,0.013085,3,30,0.000000,cell,2.040581
political_table,0.452941,1.000000,0.623482,3,30,0.100000,cell,2.045287
political_table,0.905882,1.000000,0.950617,3,30,0.200000,cell,2.050202
political_table,0.905882,1.000000,0.950617,3,30,0.300000,cell,2.054761
political_table,0.905882,1.000000,0.950617,3,30,0.400000,cell,2.059125
political_table,0.905882,1.000000,0.950617,3,30,0.500000,cell,2.063474
political_table,0.905882,1.000000,0.950617,3,30,0.600000,cell,2.067810
political_table,0.905882,1.000000,0.950617,3,30,0.700000,cell,2.072192
political_table,0.905882,1.000000,0.950617,3,30,0.800000,cell,2.076552
political_table,1.000000,1.000000,1.000000,3,30,0.900000,cell,2.080922
political_table,0.000000,0.000000,0.000000,3,30,1.000000,cell,2.085671
political_table,0.006586,1.000000,0.013085,3,30,0.000000,cell,2.088385
political_table,0.452941,1.000000,0.623482,3,30,0.100000,cell,2.092769
political_table,0.905882,1.000000,0.950617,3,30,0.200000,cell,2.097120
political_table,0.905882,1.000000,0.950617,3,30,0.300000,cell,2.101530
political_table,0.905882,1.000000,0.950617,3,30,0.400000,cell,2.106472
political_table,0.905882,1.000000,0.950617,3,30,0.500000,cell,2.110925
political_table,0.905882,1.000000,0.950617,3,30,0.600000,cell,2.115196
political_table,0.905882,1.000000,0.950617,3,30,0.700000,cell,2.119462
political_table,0.905882,1.000000,0.950617,3,30,0.800000,cell,2.123721
political_table,1.000000,1.000000,1.000000,3,30,0.900000,cell,2.127977
political_table,0.000000,0.000000,0.000000,3,30,1.000000,cell,2.132601
political_table,0.006586,1.000000,0.013085,3,30,0.000000,cell,1.969263
political_table,0.905882,1.000000,0.950617,3,30,0.100000,cell,1.973459
political_table,1.000000,1.000000,1.000000,3,30,0.200000,cell,1.977617
political_table,1.000000,1.000000,1.000000,3,30,0.300000,cell,1.981741
political_table,1.000000,1.000000,1.000000,3,30,0.400000,cell,1.985864
political_table,1.000000,1.000000,1.000000,3,30,0.500000,cell,1.989999
political_table,1.000000,1.000000,1.000000,3,30,0.600000,cell,1.994118
political_table,1.000000,1.000000,1.000000,3,30,0.700000,cell,1.998256
political_table,1.000000,1.000000,1.000000,3,30,0.800000,cell,2.002381
political_table,0.000000,0.000000,0.000000,3,30,0.900000,cell,2.006857
political_table,0.000000,0.000000,0.000000,3,30,1.000000,cell,2.011061
political_table,0.006586,1.000000,0.013085,5,50,0.000000,cell,2.156866
political_table,0.452941,1.000000,0.623482,5,50,0.100000,cell,2.161375
political_table,0.905882,1.000000,0.950617,5,50,0.200000,cell,2.165814
political_table,0.905882,1.000000,0.950617,5,50,0.300000,cell,2.170217
political_table,0.905882,1.000000,0.950617,5,50,0.400000,cell,2.174633
political_table,0.905882,1.000000,0.950617,5,50,0.500000,cell,2.179042
political_table,0.905882,1.000000,0.950617,5,50,0.600000,cell,2.183442
political_table,0.905882,1.000000,0.950617,5,50,0.700000,cell,2.187861
political_table,0.905882,1.000000,0.950617,5,50,0.800000,cell,2.192271
political_table,1.000000,1.000000,1.000000,5,50,0.900000,cell,2.196679
political_table,0.000000,0.000000,0.000000,5,50,1.000000,cell,2.201302
political_table,0.006586,1.000000,0.013085,5,50,0.000000,cell,1.939742
political_table,0.905882,1.000000,0.950617,5,50,0.100000,cell,1.944032
political_table,1.000000,1.000000,1.000000,5,50,0.200000,cell,1.948194
political_table,1.000000,1.000000,1.000000,5,50,0.300000,cell,1.952352
political_table,1.000000,1.000000,1.000000,5,50,0.400000,cell,1.956493
political_table,1.000000,1.000000,1.000000,5,50,0.500000,cell,1.960667
political_table,1.000000,1.000000,1.000000,5,50,0.600000,cell,1.964881
political_table,1.000000,1.000000,1.000000,5,50,0.700000,cell,1.969015
political_table,1.000000,1.000000,1.000000,5,50,0.800000,cell,1.973143
political_table,0.000000,0.000000,0.000000,5,50,0.900000,cell,1.977786
